YR,MON,YR+MON,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3
2018,7,2018.5833333333333,21.43,-0.19,26.05,0.43,29.1,0.3,27.52,0.3
2018,8,2018.6666666666667,20.66,0.02,25.14,0.15,29.19,0.51,27.11,0.29
2018,9,2018.75,20.31,-0.03,25.2,0.35,29.17,0.48,27.1,0.38
2018,10,2018.8333333333333,21.23,0.43,25.78,0.86,29.61,0.95,27.55,0.86
2018,11,2018.9166666666667,22.27,0.68,26.02,1.05,29.59,0.95,27.64,0.99
2018,12,2019.0,23.6,0.78,26.12,0.98,29.52,1.03,27.53,0.96
2019,1,2019.0833333333333,25.1,0.57,26.17,0.55,29.0,0.65,27.08,0.52
2019,2,2019.1666666666667,26.45,0.24,26.91,0.55,29.06,0.86,27.41,0.68
2019,3,2019.25,26.8,0.07,27.89,0.71,29.1,0.77,28.22,0.95
2019,4,2019.3333333333333,25.68,-0.01,28.17,0.56,29.24,0.56,28.6,0.71
2019,5,2019.4166666666667,24.38,-0.08,27.69,0.51,29.58,0.63,28.57,0.62
2019,6,2019.5,22.62,-0.38,26.81,0.27,29.62,0.6,28.24,0.47
2019,7,2019.5833333333333,21.34,-0.33,25.68,-0.07,29.73,0.77,27.63,0.3
2019,8,2019.6666666666667,20.2,-0.46,24.89,-0.15,29.5,0.68,26.97,0.1
2019,9,2019.75,19.5,-0.83,24.61,-0.23,29.33,0.55,26.7,-0.03
2019,10,2019.8333333333333,20.02,-0.71,25.12,0.17,29.64,0.88,27.31,0.59
2019,11,2019.9166666666667,21.32,-0.22,25.46,0.41,29.47,0.7,27.26,0.51
2019,12,2020.0,23.16,0.4,25.47,0.26,29.5,0.91,27.07,0.43
2020,1,2020.0833333333333,24.55,0.02,25.81,0.2,29.28,0.93,27.09,0.53
2020,2,2020.1666666666667,26.56,0.35,26.61,0.24,29.17,0.98,27.14,0.41
2020,3,2020.25,27.11,0.38,27.43,0.24,29.22,0.89,27.82,0.55
2020,4,2020.3333333333333,26.0,0.32,28.01,0.4,29.29,0.61,28.32,0.44
2020,5,2020.4166666666667,24.24,-0.22,26.82,-0.36,28.94,-0.01,27.59,-0.36
2020,6,2020.5,22.13,-0.87,25.75,-0.79,29.07,0.05,27.3,-0.47
2020,7,2020.5833333333333,20.44,-1.23,25.08,-0.66,28.83,-0.13,26.89,-0.44
2020,8,2020.6666666666667,19.69,-0.97,24.42,-0.62,28.47,-0.35,26.18,-0.69
2020,9,2020.75,19.48,-0.85,23.58,-1.26,28.29,-0.49,25.77,-0.96
2020,10,2020.8333333333333,19.67,-1.07,23.61,-1.34,27.89,-0.87,25.3,-1.42
2020,11,2020.9166666666667,20.94,-0.61,23.82,-1.23,27.91,-0.86,25.34,-1.42
2020,12,2021.0,22.16,-0.6,24.38,-0.83,27.65,-0.95,25.53,-1.12
2021,1,2021.0833333333333,23.89,-0.64,25.06,-0.55,27.1,-1.25,25.58,-0.99
2021,2,2021.1666666666667,25.55,-0.66,25.8,-0.57,27.2,-1.0,25.81,-0.92
2021,3,2021.25,26.48,-0.26,26.8,-0.39,27.79,-0.55,26.75,-0.51
2021,4,2021.3333333333333,24.84,-0.85,26.96,-0.65,28.49,-0.19,27.41,-0.48
2021,5,2021.4166666666667,23.78,-0.68,26.76,-0.42,28.82,-0.13,27.62,-0.34
2021,6,2021.5,23.12,0.12,26.36,-0.18,28.91,-0.11,27.54,-0.22
2021,7,2021.5833333333333,22.2,0.54,25.6,-0.14,28.71,-0.24,27.08,-0.25
2021,8,2021.6666666666667,20.85,0.19,24.8,-0.24,28.61,-0.21,26.43,-0.44
2021,9,2021.75,20.45,0.12,24.57,-0.27,28.38,-0.4,26.44,-0.29
